iter	Passed	Remaining
0	0	70
1	1	72
2	2	64
3	2	59
4	2	55
5	3	54
6	4	53
7	4	53
8	5	51
9	5	53
10	6	52
11	7	51
12	7	51
13	8	50
14	8	49
15	9	48
16	9	47
17	10	46
18	10	45
19	11	44
20	11	43
21	12	43
22	12	42
23	13	42
24	14	42
25	14	41
26	15	41
27	15	40
28	16	40
29	16	39
30	17	39
31	18	38
32	18	37
33	19	36
34	19	36
35	20	35
36	20	35
37	21	34
38	21	34
39	22	33
40	23	33
41	23	32
42	23	31
43	24	31
44	24	30
45	25	29
46	25	29
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	35	19
64	35	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	45	10
81	45	10
82	46	9
83	47	9
84	47	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	55	0
